match_id,startTime,equipo_local,equipo_visitante,ranking_local,ranking_visitante,goles_local,goles_visitante,Local_Top_Stats_Posesión,Visitante_Top_Stats_Posesión,Local_Top_Stats_Goles esperados,Visitante_Top_Stats_Goles esperados,Local_Top_Stats_Total Remates,Visitante_Top_Stats_Total Remates,Local_Top_Stats_Remates a puerta,Visitante_Top_Stats_Remates a puerta,Local_Top_Stats_Grandes chances,Visitante_Top_Stats_Grandes chances,Local_Top_Stats_Fueras de Juego,Visitante_Top_Stats_Fueras de Juego,Local_Top_Stats_Pases completados,Visitante_Top_Stats_Pases completados,Local_Top_Stats_Tarjeta roja,Visitante_Top_Stats_Tarjeta roja,Local_Remates_Goles esperados,Visitante_Remates_Goles esperados,Local_Remates_Total Remates,Visitante_Remates_Total Remates,Local_Remates_Remates a Puerta,Visitante_Remates_Remates a Puerta,Local_Remates_Remates Fuera,Visitante_Remates_Remates Fuera,Local_Remates_Remates bloqueados,Visitante_Remates_Remates bloqueados,Local_Remates_Pelotas al poste,Visitante_Remates_Pelotas al poste,Local_Remates_Goles esperados de remates al arco,Visitante_Remates_Goles esperados de remates al arco,Local_Remates_Remates dentro del área,Visitante_Remates_Remates dentro del área,Local_Remates_Remates fuera del área,Visitante_Remates_Remates fuera del área,Local_Remates_Remates de cabeza,Visitante_Remates_Remates de cabeza,Local_Remates_Grandes chances perdidas,Visitante_Remates_Grandes chances perdidas,Local_Pases_Pases completados,Visitante_Pases_Pases completados,Local_Pases_Asistencias esperadas,Visitante_Pases_Asistencias esperadas,Local_Pases_Centros,Visitante_Pases_Centros,Local_Pases_Pases largos completados,Visitante_Pases_Pases largos completados,Local_Pases_Pases claves,Visitante_Pases_Pases claves,Local_Pases_Pases en el último tercio,Visitante_Pases_Pases en el último tercio,Local_Pases_Pases hacia atrás,Visitante_Pases_Pases hacia atrás,Local_Defensivas_Intercepciones,Visitante_Defensivas_Intercepciones,Local_Defensivas_Salvadas de portero,Visitante_Defensivas_Salvadas de portero,Local_Defensivas_Barridas ganadas,Visitante_Defensivas_Barridas ganadas,Local_Defensivas_Despejes,Visitante_Defensivas_Despejes,Local_Duelos_Duelos ganados,Visitante_Duelos_Duelos ganados,Local_Duelos_Duelos aéreos (ganados),Visitante_Duelos_Duelos aéreos (ganados),Local_Duelos_Duelos en el suelo (ganados),Visitante_Duelos_Duelos en el suelo (ganados),Local_Duelos_Faltas recibidas,Visitante_Duelos_Faltas recibidas,Local_Duelos_Regates,Visitante_Duelos_Regates,Local_Duelos_Regateado,Visitante_Duelos_Regateado,Local_Duelos_Posesiones ganadas en el último tercio,Visitante_Duelos_Posesiones ganadas en el último tercio,Local_Duelos_Posesiones perdidas,Visitante_Duelos_Posesiones perdidas,Local_Disciplinarias_Tarjeta roja,Visitante_Disciplinarias_Tarjeta roja,Local_Disciplinarias_Faltas,Visitante_Disciplinarias_Faltas,Local_Disciplinarias_Tarjeta amarilla,Visitante_Disciplinarias_Tarjeta amarilla
4159886,2025-06-10T13:15:00-05:00,Arabia Saudita,Australia,61,27,1,2,70,30,"2,64","1,04",14,4,6,3,0,3,3,1,503,181,0,0,"2,64","1,04",14,4,6,3,6,1,2,0,0,0,"2,02","0,55",10,4,4,0,0,1,2,1,503,181,"0,7300000000000001","0,64",3,2,24,18,7,4,83,33,90,30,6,8,1,5,13,5,12,34,11,12,5,8,6,4,10,12,3,2,2,3,6,1,117,103,0,0,13,10,1,1
4159892,2025-06-10T13:15:00-05:00,Jordania,Irak,63,56,0,1,41,59,"0,63","0,56",9,7,0,4,1,1,1,0,229,358,0,0,"0,63","0,56",9,7,0,4,7,2,1,0,0,0,0,"1,15",7,6,2,1,4,3,1,0,229,358,"0,76","0,59",10,7,26,18,8,6,46,46,44,70,6,4,3,0,11,14,21,34,13,11,6,5,7,6,9,12,5,7,7,5,2,3,123,118,0,0,13,10,2,1
4402280,2025-06-10T13:45:00-05:00,Países Bajos,Malta,8,161,8,0,65,35,"5,02","0,16",27,5,9,2,6,0,3,2,562,272,0,0,"5,02","0,16",27,5,9,2,11,2,7,1,0,0,"3,88","0,03",21,0,6,5,4,0,6,0,562,272,"3,2299999999999995","0,09",10,0,23,15,22,3,85,26,101,63,15,11,2,1,9,8,12,19,7,1,1,1,6,0,14,9,9,5,5,9,10,2,96,99,0,0,12,15,1,2
4400179,2025-06-10T13:45:00-05:00,Luxemburgo,Irlanda,98,59,0,0,58,42,"0,48","0,62",12,8,4,1,0,2,0,2,422,280,0,0,"0,48","0,62",12,8,4,1,4,6,4,1,0,2,"0,65","0,02",6,4,6,4,1,2,0,2,422,280,"0,39999999999999997","0,61",2,3,38,22,10,7,53,58,77,53,4,5,1,4,13,13,32,14,27,25,14,9,13,16,12,15,5,2,2,5,2,2,133,136,0,0,15,12,2,2
4314051,2025-06-10T13:45:00-05:00,San Marino,Austria,211,23,0,4,33,67,"0,56","4,16",8,22,2,13,1,5,0,3,188,469,0,0,"0,56","4,16",8,22,2,13,2,5,4,4,0,2,"0,67","4,619999999999999",4,17,4,5,2,2,1,4,188,469,"0,18000000000000002","2,9099999999999993",4,7,22,24,3,17,26,71,50,83,10,7,7,2,12,16,32,13,13,26,4,7,9,19,15,14,10,12,12,10,2,10,133,138,0,0,16,15,1,1
4400639,2025-06-10T16:00:00-05:00,Nueva Zelanda,Ucrania,85,32,1,2,48,52,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4048049,2025-06-10T17:00:00-05:00,Haití,Curazao,83,82,1,5,60,40,0,0,21,10,5,8,1,3,4,2,346,211,0,0,0,0,21,10,5,8,9,0,7,2,2,0,0,0,0,0,0,0,0,0,1,0,346,211,0,0,4,3,17,39,16,9,62,47,67,34,9,11,3,4,10,11,17,29,10,4,2,2,8,2,18,10,4,4,4,4,8,2,138,136,0,0,10,19,0,1
4035453,2025-06-10T18:00:00-05:00,Uruguay,Venezuela,16,49,2,0,59,41,"1,17","0,49",12,10,5,1,1,0,0,4,401,270,0,0,"1,17","0,49",12,10,5,1,5,3,2,6,0,0,"1,4899999999999998","0,14",7,3,5,7,3,1,0,0,401,270,"1,12","0,31",8,2,29,21,11,6,61,45,72,54,8,10,1,3,13,8,19,38,31,44,12,18,19,26,10,12,7,13,13,7,6,2,156,143,0,0,15,10,2,3
4035455,2025-06-10T19:00:00-05:00,Argentina,Colombia,1,13,1,1,64,36,"1,07","1,42",10,11,3,5,1,4,4,1,553,291,1,0,"1,07","1,42",10,11,3,5,5,2,2,4,1,1,"0,27","1,32",7,9,3,2,1,3,2,3,553,291,"1,99",1,2,4,13,18,8,9,57,33,85,51,13,6,4,2,15,8,8,30,15,22,6,6,9,16,12,16,13,6,6,13,2,4,100,95,1,0,16,12,2,4
4048051,2025-06-10T19:00:00-05:00,Panamá,Nicaragua,34,131,3,0,54,46,0,0,12,7,6,1,3,0,4,0,280,241,0,0,0,0,12,7,6,1,1,4,5,2,1,0,0,0,0,0,0,0,0,0,1,0,280,241,0,0,4,0,17,23,8,4,61,49,52,48,3,9,1,3,11,6,14,38,14,17,7,9,7,8,12,14,9,6,6,9,1,1,114,109,0,0,14,12,1,1
